 |   | APEX LEVELS |  |  |  |  |  |  |  | 
COMPANY | PRODUCT | NEW HIRE | PRE-ASSOCIATE | ASSOCIATE | AGENT | GA | MGA | 14 | WMR (85%) | TOROPOINT
American Equity | IncomeShield 10 Option A (Ages 18-75) | 2.6 | 3 | 3.4 | 3.8 | 4.2 | 4.6 |  |  | 
 | IncomeShield 7 Option A (Ages 18-75) | 1.6 | 2 | 2.4 | 2.8 | 3.2 | 3.6 |  |  | 
 | Income Shield 9 - CA  Option A (Ages 18-75) | 2.6 | 3 | 3.4 | 3.8 | 4.2 | 4.6 |  |  | 
 | AssetShield 10 Option U (Ages 18-75) | 4 | 4.5 | 5 | 5.5 | 6 | 6.5 |  |  | 
 | AssetShield 5 Option U (Ages 18-75) | 1.65 | 2 | 2.35 | 2.7 | 3.1 | 3.4 |  |  | 
 | AssetShield 7 Option U (Ages 18-75) | 2.4 | 2.75 | 3.1 | 3.45 | 3.85 | 4.15 |  |  | 
 | AssetShield 9 Option U (Ages 18-75) | 4 | 4.5 | 5 | 5.5 | 6 | 6.5 |  |  | 
 | AssetShield Bonus 9 & 10 Option U (Ages 18-75) | 4 | 4.5 | 5 | 5.5 | 6 | 6.5 |  |  | 
 | BalanceShield Option U (Ages 18-75) | 4 | 4.5 | 5 | 5.5 | 6 | 6.5 |  |  | 
 | EstateShield 10 Option U (Ages 40-75) | 4 | 4.5 | 5 | 5.5 | 6 | 6.5 |  |  | 
 | IncomeShield 10 Option U (Ages 18-75) | 4.6 | 5 | 5.4 | 5.8 | 6.2 | 6.6 |  |  | 
 | IncomeShield 7 Option U (Ages 40-75) | 2.6 | 3 | 3.4 | 3.8 | 4.2 | 4.6 |  |  | 
 | IncomeShield 9 - CA Option U (Ages 18-75) | 4.6 | 5 | 5.4 | 5.8 | 6.2 | 6.6 |  |  | 
 | SPIA 1- Year Certain Plus All Life Contingencies Payout | 1.8 | 2 | 2.2 | 2.4 | 2.6 | 2.8 |  |  | 
 | SPIA Less Thans 10 Year Certain | 0.9 | 1 | 1.1 | 1.2 | 1.3 | 1.4 |  |  | 
 | GuranteeShield 3 Option A (Ages 18-80) | 0.9 | 1 | 1.1 | 1.2 | 1.3 | 1.4 |  |  | 
 | GuranteeShield 5 Option A (Ages 18-80) | 1.65 | 1.75 | 1.85 | 1.95 | 2.05 | 2.15 |  |  | 
 |  |  |  |  |  |  |  |  |  | 
Corebridge Financial | American Pathway Immediate Annuity Life Payout Options  | 1 | 1.25 | 1.5 | 1.75 | 2 | 2.25 |  |  | 
 | American Pathway Immediate Annuity Period #3 | 1 | 1.25 | 1.5 | 1.75 | 2 | 2.25 |  |  | 
 | American Pathway Immediate Annuity Period #2 | 0.5 | 0.75 | 1 | 1.25 | 1.5 | 1.75 |  |  | 
 | American Pathway Immediate Annuity Period #1 | 0.7 | 0.8 | 0.9 | 1 | 1.1 | 1.2 |  |  | 
 | American Pathway Deferred Income Annuity Life Payout Options | 2 | 2.25 | 2.5 | 2.75 | 3 | 3.25 |  |  | 
 | American Pathway Deferred Income Annuity Period #3 | 2 | 2.25 | 2.5 | 2.75 | 3 | 3.25 |  |  | 
 | American Pathway Deferred Income Annuity Period #2 | 1 | 1.25 | 1.5 | 1.75 | 2 | 2.25 |  |  | 
 | American Pathway Deferred Income Annuity Period #1 | 0.5 | 0.75 | 1 | 1.25 | 1.5 | 1.75 |  |  | 
